Country_A,Country_B,Conflict_Type,Year,Duration_Days,Military_Deaths_A,Military_Deaths_B,Civilian_Deaths,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,GDP_A_Billions,GDP_B_Billions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement
France,France,Cold Conflict,2020,1829,33197,41305,50364,176.45,8.2,2584.4,Desert,1113.4,724.2,4887.9,15609.5,NATO,Regional,Mixed,87,104,Yes,6.68,No,Victory_A,88.811,101.02,Temperate,Land,Yes
India,Japan,Cold Conflict,2013,1234,26773,10526,176846,435.83,24.8,2379,Plains,571.6,507,10851.5,12932.3,NATO,NATO,Conventional,1529,87,Yes,14.51,Yes,Stalemate,55.878,78.502,Polar,Water,No
Israel,USA,Civil War,1970,1982,17256,7604,17280,154.5,17.3,946.6,Mountain,677,1145,12079.9,22137.4,Regional,None,Nuclear,3239,9,No,1.63,No,Stalemate,29.263,144.68,Tropical,Water,No
Turkey,Australia,Proxy War,2021,1754,1745,33468,92279,273.2,12.3,1065.6,Plains,1303.8,98.1,12583.3,10539.7,None,NATO,Cyber,3185,15,No,7.23,No,Victory_A,-22.281,-147.397,Polar,Water,No
Australia,France,War,2012,753,29149,40672,72545,351.35,31.1,139.4,Plains,938.3,386.3,23875.5,14095.4,Regional,NATO,Mixed,12,22,Yes,19.65,No,Victory_A,17.638,169.36,Temperate,Land,No
Brazil,Brazil,Civil War,2013,886,9915,46117,101440,499.96,7,47.2,Mountain,1149.2,844.5,2515.4,21461.7,Regional,Regional,Mixed,2928,46,Yes,15.71,No,Victory_B,68.465,-169.618,Tropical,Oil,Yes
Israel,Ukraine,Civil War,1969,464,1948,38405,173852,217.7,-0.1,1431,Forest,163.4,288.1,9519.4,9830.4,NATO,Regional,Mixed,319,11,Yes,11.44,Yes,Victory_A,-35.014,-58.427,Tropical,Oil,No
UK,Iran,Civil War,1957,712,34429,32194,91987,214.1,17.4,286.6,Plains,272.3,942.1,12868.5,19312.1,NATO,Regional,Mixed,4387,155,No,1.24,Yes,Stalemate,-84.483,-149.462,Arid,Oil,Yes
France,Russia,Cold Conflict,2007,728,33641,14785,113773,421.31,18.1,582,Mountain,482.4,192.3,24078.2,6410.9,NATO,None,Conventional,4868,76,Yes,0.29,Yes,Victory_A,-31.107,-161.577,Tropical,None,Yes
Canada,India,Skirmish,1995,717,7411,8824,3373,402.77,9.8,2540.3,Plains,264.3,32.9,12612.8,17562.1,NATO,NATO,Mixed,1683,17,Yes,2.1,No,Stalemate,82.841,167.3,Arid,Oil,No
Russia,Canada,War,1980,1949,21663,5184,131567,365.56,11.9,1713.1,Forest,1269.1,1209,19384.1,12765.8,None,None,Cyber,2449,57,Yes,6.54,Yes,Victory_B,52.932,79.081,Tropical,Water,No
France,Germany,Proxy War,1958,1440,15303,34910,82995,231.67,33.2,1900.9,Mountain,304.4,467.5,18734.5,4131,None,NATO,Conventional,4253,129,Yes,12.13,No,Stalemate,-56.315,2.048,Tropical,Land,No
Australia,Canada,Proxy War,1964,1240,9390,16841,141085,162.04,23,562.4,Desert,780.5,220.4,14165.4,3408.8,Regional,NATO,Nuclear,383,173,Yes,3.95,Yes,Victory_B,-87.84,-141.052,Arid,None,Yes
Australia,France,Skirmish,1975,80,34918,16861,181633,304.4,-5,2486,Desert,120.5,242.6,3276.3,11447.6,None,None,Nuclear,4493,144,Yes,1.02,No,Stalemate,30.441,9.368,Temperate,Water,No
Brazil,Israel,Civil War,1959,1803,17231,13436,120851,438.12,-0.5,2603.9,Desert,217.8,1240.4,5476.8,17774.1,Regional,None,Nuclear,1096,86,No,1.82,No,Stalemate,14.222,-64.781,Arid,Oil,No
UK,Iran,War,1978,480,30243,20972,146559,441.9,33.9,1570,Urban,347.1,916.5,6011.1,15086.4,NATO,NATO,Mixed,969,63,No,8.54,Yes,Stalemate,-75.063,-82.229,Tropical,Land,No
India,India,Proxy War,1985,902,24609,13514,147977,54.34,22.7,2737.7,Plains,1376.1,1338.9,976.1,21369.6,Regional,None,Nuclear,2520,86,No,15.46,Yes,Stalemate,83.879,42.517,Polar,Oil,No
Brazil,Brazil,Proxy War,1986,891,22344,4897,81997,214.23,31.2,2534.5,Plains,1116.1,1120.3,9486.7,9747.6,Regional,Regional,Conventional,3251,192,No,16.42,Yes,Stalemate,21.203,104.733,Arid,Water,Yes
Brazil,UK,Civil War,2020,1571,36841,3407,141969,232.41,3.7,2194,Mountain,943.3,1074.8,15266.7,21092.6,None,NATO,Conventional,3674,53,No,5.82,No,Victory_B,27.274,-20.427,Arid,Water,Yes
Russia,USA,Skirmish,1972,1825,26998,46589,134358,488.81,23.4,2202.2,Urban,1282.9,700.2,3615.2,935.3,Regional,Regional,Nuclear,193,170,No,13.27,No,Victory_A,63.648,-2.413,Tropical,Water,No
Germany,India,War,1990,18,34483,32668,61947,339.03,22.1,316.2,Plains,1338.7,1149.3,4384.1,9151.5,NATO,None,Nuclear,2844,77,Yes,7.85,No,Victory_B,-29.329,54.514,Tropical,Oil,No
UK,Russia,Skirmish,1977,1189,47418,2696,118686,203.68,3.3,812.5,Mountain,635.5,578.3,17677.6,1833.8,NATO,Regional,Conventional,4855,182,No,19.45,No,Victory_A,10.486,-135.13,Polar,Land,No
China,Japan,Skirmish,1997,1549,20238,17267,13537,13.13,14.8,200.5,Forest,459.4,1158,4239.6,22981.9,NATO,None,Cyber,1252,13,Yes,8.1,No,Victory_B,13.714,118.298,Tropical,Land,No
Brazil,Brazil,War,1987,202,43362,22408,77434,282.74,18.2,26,Plains,442.1,1061.1,3392,11888.1,NATO,Regional,Nuclear,794,171,No,7.92,Yes,Stalemate,84.124,121.298,Arid,None,Yes
Ukraine,USA,War,1980,741,5606,24315,193545,48.13,11.7,474.9,Plains,51,950.1,24446.3,7910.7,None,None,Conventional,2722,37,Yes,10.03,No,Victory_A,-66.332,14.777,Arid,None,No
Iran,Australia,Proxy War,1963,1370,20705,11895,13205,417.24,27.2,2641.5,Forest,392.2,462.3,378.2,12317.3,Regional,NATO,Nuclear,1626,185,No,0.51,No,Victory_A,46.604,-112.478,Arid,None,No
Germany,Germany,Proxy War,2022,1390,13154,15084,11305,376.28,27.5,719.6,Forest,497.7,883.4,8142,13325.8,Regional,NATO,Conventional,2841,104,Yes,8.36,Yes,Victory_B,13.527,0.275,Temperate,Water,No
